name,type,team,salary,prior_value
Canha, Mark,batter,KC,17,37.400
Clarke, Denzel,batter,ATH,17,37.450
Clase, Jonatan,batter,TOR,17,41.150
DeJong, Paul,batter,WSH,17,37.800
Del Castillo, Adrian,batter,AZ,17,41.850
Duran, Ezequiel,batter,TEX,17,42.250
Farmer, Kyle,batter,COL,17,43.150
Fortes, Nick,batter,TB,17,44.450
Giménez, Andrés,batter,TOR,17,44.950
Gorman, Nolan,batter,STL,17,44.500
Hamilton, David,batter,BOS,17,46.000
Hernández, Enrique,batter,LAD,17,46.450
Hummel, Cooper,batter,HOU,17,47.200
Iglesias, Jose,batter,SD,17,49.150
Jung, Josh,batter,TEX,17,48.900
Koss, Christian,batter,SF,17,49.800
Lee, Brooks,batter,MIN,17,52.350
Lockridge, Brandon,batter,MIL,17,53.300
Lowe, Nathaniel,batter,BOS,17,52.700
Malloy, Justyn-Henry,batter,DET,17,52.800
McCann, James,batter,AZ,17,54.550
McMahon, Ryan,batter,NYY,17,53.150
Ramos, Heliot,batter,SF,17,58.850
Riley, Austin,batter,ATL,17,58.800
Semien, Marcus,batter,TEX,17,61.950
Tauchman, Mike,batter,CWS,17,64.200
Brzykcy, Zach,pitcher,WSH,17,-71.220
Cabrera, Génesis,pitcher,MIN,17,-64.420
Chivilli, Angel,pitcher,COL,17,-58.850
Cortes, Nestor,pitcher,SD,17,-58.020
DeSclafani, Anthony,pitcher,AZ,17,-44.580
Dunning, Dane,pitcher,ATL,17,-42.460
Eisert, Brandon,pitcher,CWS,17,-48.510
Gage, Matt,pitcher,SF,17,-34.740
Ginkel, Kevin,pitcher,AZ,17,-32.010
Gipson-Long, Sawyer,pitcher,DET,17,-32.520
Gómez, Yoendrys,pitcher,CWS,17,-28.960
Gordon, Colton,pitcher,HOU,17,-24.930
Graceffo, Gordon,pitcher,STL,17,-27.140
Hart, Kyle,pitcher,SD,17,-22.540
Hill, Tim,pitcher,NYY,17,-22.170
Kelly, Zack,pitcher,BOS,17,-18.350
Kranick, Max,pitcher,NYM,17,-16.960
Lord, Brad,pitcher,WSH,17,-14.630
Matz, Steven,pitcher,BOS,17,-10.960
Mikolas, Miles,pitcher,STL,17,-7.630
Miller, Bryce,pitcher,SEA,17,-8.250
Montero, Keider,pitcher,DET,17,-7.370
Morgan, David,pitcher,SD,17,-8.020
Ober, Bailey,pitcher,MIN,17,-6.270
Peguero, Joel,pitcher,SF,17,-4.900
Phillips, Connor,pitcher,CIN,17,0.340
Rodríguez, Manuel,pitcher,TB,17,0.080
Seymour, Ian,pitcher,TB,17,10.100
Smith-Shawver, AJ,pitcher,ATL,17,7.390
Speier, Gabe,pitcher,SEA,17,11.140
Svanson, Matt,pitcher,STL,17,19.370
Taillon, Jameson,pitcher,CHC,17,12.730
Wacha, Michael,pitcher,KC,17,24.880
Walter, Brandon,pitcher,HOU,17,20.900
Williams, Gavin,pitcher,CLE,17,20.560
Bride, Jonah,batter,MIN,16,23.050
Caglianone, Jac,batter,KC,16,29.100
Capra, Vinny,batter,CWS,16,5.850
Casas, Triston,batter,BOS,16,30.550
Díaz, Elias,batter,SD,16,34.250
Fernández, Yanquiel,batter,COL,16,32.650
Fitzgerald, Tyler,batter,SF,16,35.400
Garver, Mitch,batter,SEA,16,39.900
Gilbert, Drew,batter,SF,16,44.050
Hayes, Ke'Bryan,batter,CIN,16,45.100
Kemp, Otto,batter,PHI,16,48.500
LeMahieu, DJ,batter,NYY,16,48.600
Loftin, Nick,batter,KC,16,47.400
Lowe, Josh,batter,TB,16,48.300
Martini, Nick,batter,COL,16,50.400
Massey, Michael,batter,KC,16,47.900
Mayer, Marcelo,batter,BOS,16,48.650
Mayo, Coby,batter,BAL,16,49.400
McLain, Matt,batter,CIN,16,48.750
Murphy, Sean,batter,ATL,16,50.350
Nootbaar, Lars,batter,STL,16,54.100
O'Neill, Tyler,batter,BAL,16,55.100
Pauley, Graham,batter,MIA,16,54.150
Pham, Tommy,batter,PIT,16,53.550
Quero, Edgar,batter,CWS,16,54.250
Reynolds, Bryan,batter,PIT,16,56.100
Sánchez, Jesús,batter,HOU,16,57.400
Sanoja, Javier,batter,MIA,16,59.050
Shaw, Matt,batter,CHC,16,59.400
Sosa, Lenyn,batter,CWS,16,58.350
Steer, Spencer,batter,CIN,16,62.450
Vargas, Miguel,batter,CWS,16,63.700
Cox, Austin,pitcher,ATL,16,-90.990
Fermin, José,pitcher,LAA,16,-52.290
Fernandez, Ryan,pitcher,STL,16,-55.010
Francis, Bowden,pitcher,TOR,16,-40.570
García, Luis,pitcher,LAA,16,-38.550
Gillispie, Connor,pitcher,MIA,16,-36.920
Granillo, Andre,pitcher,STL,16,-37.090
Henry, Cole,pitcher,WSH,16,-34.350
Hernández, Carlos,pitcher,CLE,16,-29.360
Holman, Grant,pitcher,ATH,16,-31.280
Holton, Tyler,pitcher,DET,16,-23.460
Kerkering, Orion,pitcher,PHI,16,-20.650
Knack, Landon,pitcher,LAD,16,-19.380
Little, Brendon,pitcher,TOR,16,-17.300
López, Jorge,pitcher,WSH,16,-18.040
Lucas, Easton,pitcher,TOR,16,-17.810
Lucchesi, Joey,pitcher,SF,16,-16.250
Mears, Nick,pitcher,MIL,16,-15.810
Mejia, Juan,pitcher,COL,16,-14.840
Morton, Charlie,pitcher,ATL,16,-12.120
Murphy, Chris,pitcher,BOS,16,-13.230
Myers, Tobias,pitcher,MIL,16,-9.570
Newcomb, Sean,pitcher,ATH,16,-12.660
Paddack, Chris,pitcher,DET,16,-11.170
Pagán, Emilio,pitcher,CIN,16,-7.170
Peralta, Wandy,pitcher,SD,16,-10.250
Pomeranz, Drew,pitcher,CHC,16,-8.640
Rodriguez, Eduardo,pitcher,AZ,16,-3.820
Rogers, Tyler,pitcher,NYM,16,-4.170
Roupp, Landen,pitcher,SF,16,0.860
Saalfrank, Andrew,pitcher,AZ,16,0.270
Smith, Cade,pitcher,CLE,16,5.480
Sousa, Bennett,pitcher,HOU,16,2.910
Springs, Jeffrey,pitcher,ATH,16,5.880
Suarez, Robert,pitcher,SD,16,8.810
Uribe, Abner,pitcher,MIL,16,11.340
Verlander, Justin,pitcher,SF,16,14.080
Wells, Tyler,pitcher,BAL,16,11.130
d'Arnaud, Travis,batter,LAA,15,26.500
Davis, Henry,batter,PIT,15,22.250
Feduccia, Hunter,batter,TB,15,29.350
Fry, David,batter,CLE,15,26.550
Fulford, Braxton,batter,COL,15,32.950
Gasper, Mickey,batter,MIN,15,31.700
Hassell III, Robert,batter,WSH,15,33.200
Hedges, Austin,batter,CLE,15,32.050
Heim, Jonah,batter,TEX,15,37.950
Herrera, Jose,batter,AZ,15,32.400
Hill, Derek,batter,CWS,15,36.950
House, Brady,batter,WSH,15,36.850
Julien, Edouard,batter,MIN,15,39.900
Karros, Kyle,batter,COL,15,43.500
Martínez, Angel,batter,CLE,15,46.550
McCarthy, Jake,batter,AZ,15,44.250
Meadows, Parker,batter,DET,15,46.250
Norby, Connor,batter,MIA,15,49.550
Ortiz, Joey,batter,MIL,15,49.000
Osuna, Alejandro,batter,TEX,15,50.050
Pozo, Yohel,batter,STL,15,51.450
Ramírez, Agustín,batter,MIA,15,52.450
Realmuto, J.T.,batter,PHI,15,51.500
Robert Jr., Luis,batter,CWS,15,49.750
Saggese, Thomas,batter,STL,15,51.750
Sánchez, Gary,batter,BAL,15,51.900
Santana, Carlos,batter,CHC,15,51.750
Schmitt, Casey,batter,SF,15,55.350
Smith, Josh,batter,TEX,15,55.750
Sogard, Nick,batter,BOS,15,55.400
Stephenson, Tyler,batter,CIN,15,54.500
Tellez, Rowdy,batter,TEX,15,56.300
Toro, Abraham,batter,BOS,15,56.100
Vaughn, Andrew,batter,MIL,15,59.250
Gomber, Austin,pitcher,COL,15,-47.830
Halvorsen, Seth,pitcher,COL,15,-56.540
Hatch, Thomas,pitcher,MIN,15,-52.100
Helsley, Ryan,pitcher,NYM,15,-39.640
Hernández, Daysbel,pitcher,ATL,15,-37.790
Herrin, Tim,pitcher,CLE,15,-41.500
Hicks, Jordan,pitcher,BOS,15,-35.620
Hoffman, Jeff,pitcher,TOR,15,-41.130
Hoglund, Gunnar,pitcher,ATH,15,-33.520
Houck, Tanner,pitcher,BOS,15,-31.830
Jackson, Luke,pitcher,SEA,15,-29.610
Jarvis, Bryce,pitcher,AZ,15,-38.070
Johnson, Pierce,pitcher,ATL,15,-28.890
Kahnle, Tommy,pitcher,DET,15,-32.910
Kelly, Michael,pitcher,ATH,15,-36.240
Kochanowicz, Jack,pitcher,LAA,15,-28.560
Lee, Dylan,pitcher,ATL,15,-22.950
Legumina, Casey,pitcher,SEA,15,-26.610
Martin, Chris,pitcher,TEX,15,-21.900
Milner, Hoby,pitcher,TEX,15,-17.580
Montero, Rafael,pitcher,DET,15,-16.230
Nicolas, Kyle,pitcher,PIT,15,-16.640
Orze, Eric,pitcher,TB,15,-15.420
Palencia, Daniel,pitcher,CHC,15,-13.960
Parker, Mitchell,pitcher,WSH,15,-15.820
Phillips, Tyler,pitcher,MIA,15,-10.760
Rodríguez, Yariel,pitcher,TOR,15,-9.220
Sabrowski, Erik,pitcher,CLE,15,-6.740
Sears, JP,pitcher,SD,15,-6.150
Steele, Justin,pitcher,CHC,15,2.010
Strider, Spencer,pitcher,ATL,15,2.830
Strowd, Kade,pitcher,BAL,15,-3.390
Sulser, Cole,pitcher,TB,15,-0.040
Teng, Kai-Wei,pitcher,SF,15,4.330
Thielbar, Caleb,pitcher,CHC,15,2.870
Vásquez, Randy,pitcher,SD,15,-0.060
Vest, Will,pitcher,DET,15,3.110
Warren, Will,pitcher,NYY,15,3.170
Weathers, Ryan,pitcher,MIA,15,2.000
Whitlock, Garrett,pitcher,BOS,15,11.560
Gelof, Zack,batter,ATH,14,10.500
Jones, Nolan,batter,CLE,14,34.600
Kjerstad, Heston,batter,BAL,14,28.700
MacIver, Willie,batter,ATH,14,30.150
Marchán, Rafael,batter,PHI,14,41.450
Mauricio, Ronny,batter,NYM,14,42.450
Mead, Curtis,batter,CWS,14,37.200
Mervis, Matt,batter,MIA,14,39.400
Misner, Kameron,batter,TB,14,41.550
Moore, Christian,batter,LAA,14,42.800
Moore, Dylan,batter,TEX,14,43.500
Morel, Christopher,batter,TB,14,43.700
Mountcastle, Ryan,batter,BAL,14,43.600
Myers, Dane,batter,MIA,14,39.850
O'Hoppe, Logan,batter,LAA,14,38.650
Pederson, Joc,batter,TEX,14,43.000
Perkins, Blake,batter,MIL,14,46.850
Rave, John,batter,KC,14,44.300
Rengifo, Luis,batter,LAA,14,43.800
Ritter, Ryan,batter,COL,14,46.850
Rivera, Emmanuel,batter,BAL,14,47.800
Robles, Victor,batter,SEA,14,44.550
Rojas, Johan,batter,PHI,14,46.550
Ruiz, Keibert,batter,WSH,14,48.250
Schneemann, Daniel,batter,CLE,14,48.200
Scott II, Victor,batter,STL,14,49.850
Smith, Cam,batter,HOU,14,48.400
Thaiss, Matt,batter,TB,14,50.100
Tovar, Ezequiel,batter,COL,14,54.500
Triolo, Jared,batter,PIT,14,55.750
Urías, Luis,batter,ATH,14,53.100
Urías, Ramón,batter,HOU,14,53.100
Valdez, Enmanuel,batter,PIT,14,51.900
Verdugo, Alex,batter,ATL,14,55.100
Wagner, Will,batter,SD,14,56.150
White, Eli,batter,ATL,14,55.950
Winn, Masyn,batter,STL,14,56.100
Green, Chad,pitcher,TOR,14,-76.100
Hodge, Porter,pitcher,CHC,14,-66.830
Holderman, Colin,pitcher,PIT,14,-65.860
Jacob, Alek,pitcher,SD,14,-45.460
Kelly, Kevin,pitcher,TB,14,-63.300
King, John,pitcher,STL,14,-50.790
Lazar, Max,pitcher,PHI,14,-37.320
Leasure, Jordan,pitcher,CWS,14,-37.940
Lee, Chase,pitcher,DET,14,-32.540
Leiter Jr., Mark,pitcher,NYY,14,-34.780
Long, Sam,pitcher,KC,14,-47.710
Lynch IV, Daniel,pitcher,KC,14,-31.180
Márquez, Germán,pitcher,COL,14,-32.890
Matsui, Yuki,pitcher,SD,14,-29.400
McCullers Jr., Lance,pitcher,HOU,14,-28.330
Montas, Frankie,pitcher,NYM,14,-26.790
Ohl, Pierson,pitcher,MIN,14,-28.540
Poulin, PJ,pitcher,WSH,14,-25.980
Quantrill, Cal,pitcher,ATL,14,-22.930
Ramírez, Yohan,pitcher,PIT,14,-17.410
Rocker, Kumar,pitcher,TEX,14,-13.680
Romero, JoJo,pitcher,STL,14,-19.640
Sands, Cole,pitcher,MIN,14,-12.880
Santillan, Tony,pitcher,CIN,14,-15.380
Sasaki, Roki,pitcher,LAD,14,-16.530
Scherzer, Max,pitcher,TOR,14,-16.450
Slaten, Justin,pitcher,BOS,14,-8.480
Soto, Gregory,pitcher,NYM,14,-15.590
Sterner, Justin,pitcher,ATH,14,-11.610
Stewart, Brock,pitcher,LAD,14,-9.770
Strahm, Matt,pitcher,PHI,14,-8.760
Sugano, Tomoyuki,pitcher,BAL,14,-5.200
Taylor, Grant,pitcher,CWS,14,-7.460
Uceta, Edwin,pitcher,TB,14,-10.620
Vasil, Mike,pitcher,CWS,14,-5.020
Weaver, Luke,pitcher,NYY,14,-9.550
Webb, Jacob,pitcher,TEX,14,-6.370
Wesneski, Hayden,pitcher,HOU,14,2.170
Williams, Devin,pitcher,NYY,14,-3.810
Williams, Trevor,pitcher,WSH,14,-9.270
Winn, Cole,pitcher,TEX,14,-1.410
Woods Richardson, Simeon,pitcher,MIN,14,4.150
Wrobleski, Justin,pitcher,LAD,14,2.630
Locklear, Tyler,batter,AZ,13,24.350
Maldonado, Martín,batter,SD,13,19.100
McCormick, Chas,batter,HOU,13,32.850
Newman, Kevin,batter,LAA,13,29.400
Noel, Jhonkensy,batter,CLE,13,23.600
Outman, James,batter,MIN,13,30.200
Pagés, Pedro,batter,STL,13,38.350
Palacios, Joshua,batter,CWS,13,35.300
Paris, Kyren,batter,LAA,13,36.050
Peraza, Oswald,batter,LAA,13,17.650
Raley, Luke,batter,SEA,13,34.000
Renfroe, Hunter,batter,KC,13,36.950
Rocchio, Brayan,batter,CLE,13,41.350
Roden, Alan,batter,MIN,13,28.100
Rogers, Jake,batter,DET,13,31.400
Rojas, Josh,batter,CWS,13,33.100
Rushing, Dalton,batter,LAD,13,28.150
Schuemann, Max,batter,ATH,13,44.550
Slater, Austin,batter,NYY,13,40.600
Solano, Donovan,batter,TEX,13,36.250
Soler, Jorge,batter,LAA,13,45.300
Tawa, Tim,batter,AZ,13,41.400
Taylor, Michael A.,batter,CWS,13,42.450
Taylor, Tyrone,batter,NYM,13,45.200
Thomas, Alek,batter,AZ,13,49.200
Thomas, Colby,batter,ATH,13,45.800
Torrens, Luis,batter,NYM,13,42.650
Trammell, Taylor,batter,HOU,13,45.600
Trevino, Jose,batter,CIN,13,48.000
Urshela, Gio,batter,ATH,13,49.950
Vientos, Mark,batter,NYM,13,48.100
Volpe, Anthony,batter,NYY,13,48.700
Wade, Tyler,batter,SD,13,47.750
Wagaman, Eric,batter,MIA,13,49.950
Walker, Christian,batter,HOU,13,50.650
Williamson, Ben,batter,SEA,13,50.800
Wilson, Weston,batter,PHI,13,47.500
Young, Cole,batter,SEA,13,45.700
Loáisiga, Jonathan,pitcher,NYY,13,-65.050
Mey, Luis,pitcher,CIN,13,-45.770
Miller, Erik,pitcher,SF,13,-42.950
Molina, Anthony,pitcher,COL,13,-73.960
Montgomery, Mason,pitcher,TB,13,-43.610
Morillo, Juan,pitcher,AZ,13,-42.020
Neris, Héctor,pitcher,HOU,13,-67.100
Ogasawara, Shinnosuke,pitcher,WSH,13,-62.400
Ort, Kaleb,pitcher,HOU,13,-40.580
Palmquist, Carson,pitcher,COL,13,-71.160
Payamps, Joel,pitcher,ATL,13,-61.320
Pérez, Cionel,pitcher,BAL,13,-66.620
Pilkington, Konnor,pitcher,WSH,13,-59.280
Pressly, Ryan,pitcher,CHC,13,-52.760
Reynolds, Sean,pitcher,SD,13,-29.730
Ribalta, Orlando,pitcher,WSH,13,-60.720
Richardson, Lyon,pitcher,CIN,13,-30.380
Rogers, Taylor,pitcher,CHC,13,-36.680
Ross, Joe,pitcher,PHI,13,-45.390
Rutledge, Jackson,pitcher,WSH,13,-51.810
Sauer, Matt,pitcher,LAD,13,-37.710
Schreiber, John,pitcher,KC,13,-26.400
Schultz, Paxton,pitcher,TOR,13,-34.330
Scott, Tanner,pitcher,LAD,13,-36.340
Senzatela, Antonio,pitcher,COL,13,-33.050
Shugart, Chase,pitcher,PIT,13,-24.000
Snider, Collin,pitcher,SEA,13,-37.610
Spence, Mitch,pitcher,ATH,13,-35.780
Strickland, Hunter,pitcher,LAA,13,-21.590
Stroman, Marcus,pitcher,NYY,13,-18.310
Suter, Brent,pitcher,CIN,13,-28.350
Thompson, Ryan,pitcher,AZ,13,-19.950
Thornton, Trent,pitcher,SEA,13,-26.330
Tonkin, Michael,pitcher,MIN,13,-19.550
Topa, Justin,pitcher,MIN,13,-19.760
Trivino III, Lou,pitcher,PHI,13,-24.820
Vargas, Carlos,pitcher,SEA,13,-26.560
Varland, Louis,pitcher,TOR,13,-19.810
Vesia, Alex,pitcher,LAD,13,-14.200
Waddell, Brandon,pitcher,NYM,13,-22.330
Walker, Ryan,pitcher,SF,13,-17.250
Walker, Taijuan,pitcher,PHI,13,-18.250
Weissert, Greg,pitcher,BOS,13,-18.120
Wentz, Joey,pitcher,ATL,13,-19.850
Wilson, Justin,pitcher,BOS,13,-20.360
Yarbrough, Ryan,pitcher,NYY,13,-13.030
Rodgers, Brendan,batter,HOU,12,19.200
Rortvedt, Ben,batter,LAD,12,22.000
Santander, Anthony,batter,TOR,12,27.350
Stallings, Jacob,batter,BAL,12,-0.100
Suwinski, Jack,batter,PIT,12,22.550
Sweeney, Trey,batter,DET,12,30.700
Taveras, Leody,batter,SEA,12,27.150
Taylor, Chris,batter,LAA,12,16.450
Teodosio, Bryce,batter,LAA,12,35.800
Thomas, Lane,batter,CLE,12,32.800
Toglia, Michael,batter,COL,12,25.250
Turner, Justin,batter,CHC,12,38.450
Vázquez, Christian,batter,MIN,12,30.400
Vierling, Matt,batter,DET,12,41.800
Wade Jr., LaMonte,batter,LAA,12,27.700
Walker, Jordan,batter,STL,12,27.100
Walls, Taylor,batter,TB,12,43.850
Waters, Drew,batter,KC,12,43.750
Williams, Carson,batter,TB,12,24.750
Wong, Connor,batter,BOS,12,35.750
Young, Jacob,batter,WSH,12,44.350
Rolison, Ryan,pitcher,COL,12,-70.480
Romano, Jordan,pitcher,PHI,12,-57.160
Roycroft, Chris,pitcher,STL,12,-53.010
Salazar, Eduardo,pitcher,WSH,12,-87.620
Scott, Tayler,pitcher,HOU,12,-71.340
Seymour, Carson,pitcher,SF,12,-43.170
Simpson, Josh,pitcher,MIA,12,-53.360
Soriano, George,pitcher,MIA,12,-71.040
Stanek, Ryne,pitcher,NYM,12,-36.790
Stratton, Chris,pitcher,LAD,12,-63.600
Treinen, Blake,pitcher,LAD,12,-48.920
Ureña, José,pitcher,LAA,12,-36.070
Veneziano, Anthony,pitcher,STL,12,-48.920
Vodnik, Victor,pitcher,COL,12,-33.330
Whisenhunt, Carson,pitcher,SF,12,-33.920
Wilson, Bryse,pitcher,CWS,12,-61.420
Wilson, Steven,pitcher,CWS,12,-27.640
Wolfram, Grant,pitcher,BAL,12,-31.900
Woodford, Jake,pitcher,AZ,12,-32.120
Yates, Kirby,pitcher,LAD,12,-57.100
Young, Brandon,pitcher,BAL,12,-26.220
Zastryzny, Rob,pitcher,MIL,12,-27.240
Zeferjahn, Ryan,pitcher,LAA,12,-44.510
Zerpa, Angel,pitcher,KC,12,-34.460
